Ant_subfamily,Ant_species,Plant_family,Plant_species
Formicinae,Camponotus_plantatus,Piperaceae,Piper_hispidum
Formicinae,Camponotus_novogranadensis,Piperaceae,Piper_lapathifolium
Pseudomyrmecinae,Pseudomyrmex_boopis,Piperaceae,Piper_lapathifolium
Dolichoderinae,Azteca_nigra,Rubiaceae,Psychotria_limonensis
Dolichoderinae,Azteca_nigra,Rubiaceae,Psychotria_limonensis
Dolichoderinae,Azteca_nigra,Rubiaceae,Psychotria_limonensis
Formicinae,Camponotus_linnaei,Rubiaceae,Psychotria_limonensis
Formicinae,Camponotus_linnaei,Rubiaceae,Psychotria_limonensis
Formicinae,Camponotus_linnaei,Rubiaceae,Psychotria_limonensis
Formicinae,Camponotus_linnaei,Rubiaceae,Psychotria_limonensis
Formicinae,Camponotus_plantatus,Rubiaceae,Psychotria_limonensis
Formicinae,Camponotus_plantatus,Rubiaceae,Psychotria_limonensis
Myrmicinae,Cephalotes_cristatus,Rubiaceae,Psychotria_limonensis
Myrmicinae,Cephalotes_scutulatus,Rubiaceae,Psychotria_limonensis
Myrmicinae,Cephalotes_umbraculatus,Rubiaceae,Psychotria_limonensis
Dolichoderinae,Dolichoderus_bispinosus,Rubiaceae,Psychotria_limonensis
Dolichoderinae,Dolichoderus_bispinosus,Rubiaceae,Psychotria_limonensis
Dolichoderinae,Dolichoderus_bispinosus,Rubiaceae,Psychotria_limonensis
Dolichoderinae,Dolichoderus_bispinosus,Rubiaceae,Psychotria_limonensis
Dolichoderinae,Dolichoderus_bispinosus,Rubiaceae,Psychotria_limonensis
Dolichoderinae,Dolichoderus_bispinosus,Rubiaceae,Psychotria_limonensis
Dolichoderinae,Dolichoderus_bispinosus,Rubiaceae,Psychotria_limonensis
Ponerinae,Neoponera_unidentata,Rubiaceae,Psychotria_limonensis
Myrmicinae,Pheidole_sp1,Rubiaceae,Psychotria_limonensis
Pseudomyrmecinae,Pseudomyrmex_boopis,Rubiaceae,Psychotria_limonensis
Pseudomyrmecinae,Pseudomyrmex_boopis,Rubiaceae,Psychotria_limonensis
Pseudomyrmecinae,Pseudomyrmex_boopis,Rubiaceae,Psychotria_limonensis
Pseudomyrmecinae,Pseudomyrmex_salvini,Rubiaceae,Psychotria_limonensis
Pseudomyrmecinae,Pseudomyrmex_salvini,Rubiaceae,Psychotria_limonensis
Pseudomyrmecinae,Pseudomyrmex_salvini,Rubiaceae,Psychotria_limonensis
Pseudomyrmecinae,Pseudomyrmex_salvini,Rubiaceae,Psychotria_limonensis
Pseudomyrmecinae,Pseudomyrmex_salvini,Rubiaceae,Psychotria_limonensis
Pseudomyrmecinae,Pseudomyrmex_simplex,Rubiaceae,Psychotria_limonensis
Dolichoderinae,Tapinoma_sp1,Rubiaceae,Psychotria_limonensis
Myrmicinae,Wasmannia_auropunctata,Rubiaceae,Psychotria_limonensis
Myrmicinae,Wasmannia_auropunctata,Rubiaceae,Psychotria_limonensis
Ponerinae,Neoponera_unidentata,Fabaceae,Senna_papillosa
Pseudomyrmecinae,Pseudomyrmex_salvini,Fabaceae,Senna_papillosa
Dolichoderinae,Dolichoderus_bispinosus,Apocynaceae,Stemmadenia_donnell-smithii
Pseudomyrmecinae,Pseudomyrmex_boopis,Apocynaceae,Stemmadenia_donnell-smithii
Pseudomyrmecinae,Pseudomyrmex_salvini,Araceae,Syngonium_podophylum
Formicinae,Camponotus_plantatus,Unidentified,Unidentified_sp4
Dolichoderinae,Dolichoderus_bispinosus,Unidentified,Unidentified_sp4
Formicinae,Camponotus_raphaelis,Lamiaceae,Aegiphila_costaricensis
Myrmicinae,Cephalotes_scutulatus,Lamiaceae,Aegiphila_costaricensis
Myrmicinae,Pheidole_dossera,Lamiaceae,Aegiphila_costaricensis
Myrmicinae,Pheidole_sp2,Lamiaceae,Aegiphila_costaricensis
Pseudomyrmecinae,Pseudomyrmex_ferrugineus,Lamiaceae,Aegiphila_costaricensis
Formicinae,Camponotus_plantatus,Arecaceae,Astrocarium_mexicanum
Dolichoderinae,Dolichoderus_bispinosus,Arecaceae,Astrocarium_mexicanum
Ponerinae,Neoponera_unidentata,Arecaceae,Astrocarium_mexicanum
Ponerinae,Neoponera_villosa,Arecaceae,Astrocarium_mexicanum
Pseudomyrmecinae,Pseudomyrmex_boopis,Arecaceae,Astrocarium_mexicanum
Myrmicinae,Pheidole_sp2,Urticaceae,Cecropia_obtusifolia
Pseudomyrmecinae,Pseudomyrmex_ferrugineus,Urticaceae,Cecropia_obtusifolia
Formicinae,Camponotus_novogranadensis,Arecaceae,Chamaedorea_ernesti-augusti
Formicinae,Camponotus_raphaelis,Arecaceae,Chamaedorea_ernesti-augusti
Myrmicinae,Pheidole_sp2,Arecaceae,Chamaedorea_ernesti-augusti
Formicinae,Camponotus_plantatus,Arecaceae,Chamaedorea_tepejilote
Myrmicinae,Temnothorax_sp2,Arecaceae,Chamaedorea_tepejilote
Formicinae,Camponotus_raphaelis,Costaceae,Costus_scaber
Myrmicinae,Temnothorax_sp2,Costaceae,Costus_scaber
Formicinae,Camponotus_novogranadensis,Primulaceae,Deherainia_smaragdina
Myrmicinae,Pheidole_sp2,Primulaceae,Deherainia_smaragdina
Myrmicinae,Procryptocerus_paleatus,Primulaceae,Deherainia_smaragdina
Myrmicinae,Temnothorax_sp2,Primulaceae,Deherainia_smaragdina
Myrmicinae,Temnothorax_sp2,Primulaceae,Deherainia_smaragdina
Formicinae,Camponotus_plantatus,Rubiaceae,Hamelia_longipes
Myrmicinae,Cephalotes_cristatus,Rubiaceae,Hamelia_longipes
Myrmicinae,Procryptocerus_paleatus,Rubiaceae,Hamelia_longipes
Pseudomyrmecinae,Pseudomyrmex_gracilis,Rubiaceae,Hamelia_longipes
Formicinae,Camponotus_linnaei,Annonaceae,Malmea_sp1
Myrmicinae,Pheidole_dossera,Araceae,Monstera_tuberculata
Ponerinae,Neoponera_unidentata,Urticaceae,Myriocarpa_longipes
Formicinae,Camponotus_integellus,Piperaceae,Piper_hispidum
Dolichoderinae,Dolichoderus_bispinosus,Piperaceae,Piper_hispidum
Myrmicinae,Pheidole_dossera,Rubiaceae,Psychotria_limonensis
Myrmicinae,Pheidole_dossera,Pteridaceae,Pteris_altissima
Myrmicinae,Pheidole_sp2,Siparunaceae,Siparuna_andina
Formicinae,Camponotus_sericeventris,Araceae,Syngonium_podophylum
Pseudomyrmecinae,Pseudomyrmex_salvini,Araceae,Syngonium_podophylum
Myrmicinae,Temnothorax_sp2,Araceae,Syngonium_podophylum
Myrmicinae,Temnothorax_sp2,Meliaceae,Trichilia_minutiflora
Myrmicinae,Pheidole_sp2,Moraceae,Trophis_racemosa
Myrmicinae,Temnothorax_sp2,Moraceae,Trophis_racemosa
Formicinae,Camponotus_sericeventris,Unidentified,Unidentified_sp5
Formicinae,Camponotus_linnaei,Unidentified,Unidentified_sp6
Formicinae,Camponotus_plantatus,Unidentified,Unidentified_sp6
Formicinae,Camponotus_sericeventris,Unidentified,Unidentified_sp6
Myrmicinae,Trachymyrmex_intermedius,Unidentified,Unidentified_sp6
Formicinae,Camponotus_raphaelis,Vochysiaceae,Vochysia_hondurensis
Myrmicinae,Pheidole_dossera,Vochysiaceae,Vochysia_hondurensis
Dolichoderinae,Dolichoderus_bispinosus,Fabaceae,Acacia_cornigera
Pseudomyrmecinae,Pseudomyrmex_ferrugineus,Fabaceae,Acacia_cornigera
Pseudomyrmecinae,Pseudomyrmex_gracilis,Fabaceae,Acacia_cornigera
Dolichoderinae,Dolichoderus_bispinosus,Fabaceae,Albizia_purpusii
Ponerinae,Neoponera_unidentata,Araceae,Anthurium_matudae
Formicinae,Camponotus_plantatus,Solanaceae,Cestrum_glanduliferum
Formicinae,Camponotus_plantatus,Solanaceae,Cestrum_glanduliferum
Dolichoderinae,Dolichoderus_bispinosus,Solanaceae,Cestrum_glanduliferum
Dolichoderinae,Dolichoderus_bispinosus,Solanaceae,Cestrum_glanduliferum
Ponerinae,Neoponera_villosa,Solanaceae,Cestrum_glanduliferum
Pseudomyrmecinae,Pseudomyrmex_boopis,Solanaceae,Cestrum_glanduliferum
Pseudomyrmecinae,Pseudomyrmex_ferrugineus,Solanaceae,Cestrum_glanduliferum
Pseudomyrmecinae,Pseudomyrmex_salvini,Solanaceae,Cestrum_glanduliferum
Pseudomyrmecinae,Pseudomyrmex_salvini,Solanaceae,Cestrum_glanduliferum
Pseudomyrmecinae,Pseudomyrmex_salvini,Solanaceae,Cestrum_glanduliferum
Myrmicinae,Cephalotes_scutulatus,Rutaceae,Citrus_aurantifolia
Dolichoderinae,Dolichoderus_bispinosus,Rutaceae,Citrus_aurantifolia
Formicinae,Camponotus_plantatus,Araliaceae,Dendropanax_arboreus
Myrmicinae,Cephalotes_cristatus,Araliaceae,Dendropanax_arboreus
Ponerinae,Neoponera_unidentata,Araceae,Dieffenbachia_seguine
Pseudomyrmecinae,Pseudomyrmex_salvini,Araceae,Dieffenbachia_seguine
Pseudomyrmecinae,Pseudomyrmex_salvini,Araceae,Dieffenbachia_seguine
Dolichoderinae,Azteca_forelii,Piperaceae,Piper_hispidum
Myrmicinae,Cephalotes_cristatus,Piperaceae,Piper_hispidum
Pseudomyrmecinae,Pseudomyrmex_sp1,Piperaceae,Piper_hispidum
Dolichoderinae,Dolichoderus_bispinosus,Rubiaceae,Psychotria_limonensis
Ponerinae,Neoponera_unidentata,Rubiaceae,Psychotria_limonensis
Pseudomyrmecinae,Pseudomyrmex_ferrugineus,Rubiaceae,Psychotria_limonensis
Pseudomyrmecinae,Pseudomyrmex_salvini,Rubiaceae,Psychotria_limonensis
Formicinae,Camponotus_sericeventris,Araceae,Rhodospatha_sp2
Dolichoderinae,Dolichoderus_bispinosus,Solanaceae,Solanum_nudum
Dolichoderinae,Dolichoderus_bispinosus,Solanaceae,Solanum_nudum
Formicinae,Camponotus_plantatus,Apocynaceae,Stemmadenia_donnell-smithii
Dolichoderinae,Dolichoderus_bispinosus,Apocynaceae,Stemmadenia_donnell-smithii
Pseudomyrmecinae,Pseudomyrmex_boopis,Apocynaceae,Stemmadenia_donnell-smithii
Pseudomyrmecinae,Pseudomyrmex_salvini,Apocynaceae,Stemmadenia_donnell-smithii
Pseudomyrmecinae,Pseudomyrmex_salvini,Apocynaceae,Stemmadenia_donnell-smithii
Formicinae,Camponotus_plantatus,Araceae,Syngonium_podophylum
Myrmicinae,Cephalotes_cristatus,Araceae,Syngonium_podophylum
Myrmicinae,Procryptocerus_paleatus,Araceae,Syngonium_podophylum
Pseudomyrmecinae,Pseudomyrmex_ferrugineus,Araceae,Syngonium_podophylum
Pseudomyrmecinae,Pseudomyrmex_ferrugineus,Araceae,Syngonium_podophylum
Pseudomyrmecinae,Pseudomyrmex_boopis,Araceae,Xanthosoma_robustum
Pseudomyrmecinae,Pseudomyrmex_salvini,Bignoniaceae,Amphitecna_tuxtlensis
Pseudomyrmecinae,Pseudomyrmex_salvini,Begoniaceae,Begonia_nelumbiifolia
Formicinae,Camponotus_novogranadensis,Moraceae,Brosimum_alicastrum
Formicinae,Camponotus_sericeventris,Moraceae,Brosimum_alicastrum
Formicinae,Camponotus_sericeventris,Capparaceae,Capparis_mollicella
Formicinae,Camponotus_novogranadensis,Araceae,Dieffenbachia_seguine
Formicinae,Camponotus_novogranadensis,Araceae,Dieffenbachia_seguine
Formicinae,Camponotus_sericeventris,Araceae,Dieffenbachia_seguine
Formicinae,Camponotus_sericeventris,Araceae,Dieffenbachia_seguine
Formicinae,Camponotus_sericeventris,Araceae,Dieffenbachia_seguine
Formicinae,Camponotus_sericeventris,Araceae,Dieffenbachia_seguine
Pseudomyrmecinae,Pseudomyrmex_salvini,Araceae,Dieffenbachia_seguine
Pseudomyrmecinae,Pseudomyrmex_salvini,Araceae,Dieffenbachia_seguine
Pseudomyrmecinae,Pseudomyrmex_salvini,Araceae,Dieffenbachia_seguine
Pseudomyrmecinae,Pseudomyrmex_salvini,Araceae,Dieffenbachia_seguine
Pseudomyrmecinae,Pseudomyrmex_simplex,Araceae,Dieffenbachia_seguine
Pseudomyrmecinae,Pseudomyrmex_salvini,Dioscoreaceae,Dioscorea_composita
Formicinae,Camponotus_novogranadensis,Rubiaceae,Hamelia_longipes
Formicinae,Camponotus_plantatus,Rubiaceae,Hamelia_longipes
Ponerinae,Neoponera_unidentata,Rubiaceae,Hamelia_longipes
Pseudomyrmecinae,Pseudomyrmex_gracilis,Rubiaceae,Hamelia_longipes
Pseudomyrmecinae,Pseudomyrmex_salvini,Rubiaceae,Hamelia_longipes
Pseudomyrmecinae,Pseudomyrmex_salvini,Fabaceae,Lonchocarpus_guatemalensis
Pseudomyrmecinae,Pseudomyrmex_salvini,Euphorbiaceae,Omphalea_deifera
Formicinae,Camponotus_plantatus,Piperaceae,Piper_aductum
Formicinae,Camponotus_sericeventris,Piperaceae,Piper_aductum
Formicinae,Camponotus_plantatus,Rubiaceae,Psychotria_limonensis
Dolichoderinae,Azteca_forelii,Fabaceae,Senna_papillosa
Formicinae,Camponotus_plantatus,Fabaceae,Senna_papillosa
Pseudomyrmecinae,Pseudomyrmex_salvini,Fabaceae,Senna_papillosa
Pseudomyrmecinae,Pseudomyrmex_simplex,Fabaceae,Senna_papillosa
Formicinae,Camponotus_sericeventris,Araceae,Spathiphyllum_cochlarispatum
Dolichoderinae,Dolichoderus_bispinosus,Araceae,Spathiphyllum_cochlarispatum
Formicinae,Camponotus_sericeventris,Moraceae,Trophis_racemosa
Pseudomyrmecinae,Pseudomyrmex_salvini,Moraceae,Trophis_racemosa
Pseudomyrmecinae,Pseudomyrmex_salvini,Moraceae,Trophis_racemosa
Dolichoderinae,Azteca_nigra,Urticaceae,Urera_elata
Formicinae,Camponotus_plantatus,Lamiaceae,Aegiphila_costaricensis
Pseudomyrmecinae,Pseudomyrmex_salvini,Lamiaceae,Aegiphila_costaricensis
Pseudomyrmecinae,Pseudomyrmex_salvini,Bignoniaceae,Arrabidaea_sp1
Pseudomyrmecinae,Pseudomyrmex_simplex,Bignoniaceae,Arrabidaea_sp1
Formicinae,Camponotus_linnaei,Arecaceae,Astrocarium_mexicanum
Formicinae,Camponotus_plantatus,Arecaceae,Astrocarium_mexicanum
Ponerinae,Neoponera_unidentata,Arecaceae,Astrocarium_mexicanum
Pseudomyrmecinae,Pseudomyrmex_gracilis,Arecaceae,Astrocarium_mexicanum
Pseudomyrmecinae,Pseudomyrmex_salvini,Arecaceae,Astrocarium_mexicanum
Pseudomyrmecinae,Pseudomyrmex_salvini,Arecaceae,Astrocarium_mexicanum
Formicinae,Camponotus_novogranadensis,Cannabaceae,Celtis_iguanaea
Formicinae,Camponotus_linnaei,Arecaceae,Chamaedorea_ernesti-augusti
Dolichoderinae,Dolichoderus_bispinosus,Vitaceae,Cissus_gossypiifolia
Pseudomyrmecinae,Pseudomyrmex_salvini,Vitaceae,Cissus_gossypiifolia
Ponerinae,Neoponera_unidentata,Verbenaceae,Citharexylum_affine
Pseudomyrmecinae,Pseudomyrmex_boopis,Costaceae,Costus_dirzoe
Dolichoderinae,Dolichoderus_bispinosus,Costaceae,Costus_scaber
Pseudomyrmecinae,Pseudomyrmex_boopis,Costaceae,Costus_scaber
Ponerinae,Neoponera_unidentata,Araceae,Dieffenbachia_seguine
Pseudomyrmecinae,Pseudomyrmex_salvini,Araceae,Dieffenbachia_seguine
Pseudomyrmecinae,Pseudomyrmex_salvini,Araceae,Dieffenbachia_seguine
Formicinae,Camponotus_nitidior,Meliaceae,Guarea_bijuja
Myrmicinae,Procryptocerus_paleatus,Meliaceae,Guarea_bijuja
Pseudomyrmecinae,Pseudomyrmex_boopis,Meliaceae,Guarea_bijuja
Pseudomyrmecinae,Pseudomyrmex_boopis,Meliaceae,Guarea_bijuja
Pseudomyrmecinae,Pseudomyrmex_salvini,Meliaceae,Guarea_bijuja
Formicinae,Camponotus_sericeventris,Acanthaceae,Odontonema_calystachium
Dolichoderinae,Azteca_nigra,Solanaceae,Solandra_nitida
Myrmicinae,Cephalotes_scutulatus,Solanaceae,Solandra_nitida
Dolichoderinae,Dolichoderus_bispinosus,Araceae,Spathiphyllum_cochlarispatum
Myrmicinae,Procryptocerus_paleatus,Araceae,Spathiphyllum_cochlarispatum
Pseudomyrmecinae,Pseudomyrmex_boopis,Araceae,Spathiphyllum_cochlarispatum
Pseudomyrmecinae,Pseudomyrmex_salvini,Araceae,Spathiphyllum_cochlarispatum
Formicinae,Camponotus_novogranadensis,Araceae,Syngonium_podophylum
Ponerinae,Neoponera_unidentata,Unidentified,Unidentified_sp7
Formicinae,Camponotus_sanctafidei,Unidentified,Unidentified_sp8
Pseudomyrmecinae,Pseudomyrmex_ferrugineus,Fabaceae,Acacia_cornigera
Formicinae,Camponotus_plantatus,Euphorbiaceae,Acalypha_diversifolia
Ponerinae,Neoponera_unidentata,Apocynaceae,Aspidosperma_megalocarpon
Formicinae,Camponotus_plantatus,Moraceae,Brosimum_alicastrum
Formicinae,Camponotus_plantatus,Vitaceae,Cissus_gossypiifolia
Formicinae,Camponotus_plantatus,Vitaceae,Cissus_gossypiifolia
Dolichoderinae,Dolichoderus_bispinosus,Vitaceae,Cissus_gossypiifolia
Ponerinae,Neoponera_unidentata,Vitaceae,Cissus_gossypiifolia
Pseudomyrmecinae,Pseudomyrmex_ferrugineus,Vitaceae,Cissus_gossypiifolia
Formicinae,Camponotus_plantatus,Araceae,Dieffenbachia_seguine
Ponerinae,Neoponera_unidentata,Araceae,Dieffenbachia_seguine
Formicinae,Camponotus_linnaei,Fabaceae,Erythrina_folkersii
Pseudomyrmecinae,Pseudomyrmex_ferrugineus,Fabaceae,Erythrina_folkersii
Pseudomyrmecinae,Pseudomyrmex_salvini,Fabaceae,Erythrina_folkersii
Formicinae,Camponotus_plantatus,Euphorbiaceae,Euphorbia_heterofila
Pseudomyrmecinae,Pseudomyrmex_gracilis,Euphorbiaceae,Euphorbia_heterofila
Dolichoderinae,Dolichoderus_bispinosus,Malvaceae,Hampea_nutricia
Formicinae,Camponotus_plantatus,Heliconiaceae,Heliconia_uxpanapensis
Pseudomyrmecinae,Pseudomyrmex_salvini,Heliconiaceae,Heliconia_uxpanapensis
Formicinae,Camponotus_integellus,Convolvulaceae,Ipomoea_philomega
Formicinae,Camponotus_plantatus,Convolvulaceae,Ipomoea_philomega
Formicinae,Camponotus_linnaei,Lauraceae,Licaria_sp1
Formicinae,Camponotus_plantatus,Lygodiaceae,Lygodium heterodoxum
Formicinae,Camponotus_linnaei,Urticaceae,Myriocarpa_longipes
Formicinae,Camponotus_plantatus,Urticaceae,Myriocarpa_longipes
Dolichoderinae,Dolichoderus_bispinosus,Urticaceae,Myriocarpa_longipes
Dolichoderinae,Dolichoderus_lutosus,Urticaceae,Myriocarpa_longipes
Ponerinae,Neoponera_unidentata,Urticaceae,Myriocarpa_longipes
Pseudomyrmecinae,Pseudomyrmex_boopis,Urticaceae,Myriocarpa_longipes
Pseudomyrmecinae,Pseudomyrmex_gracilis,Urticaceae,Myriocarpa_longipes
Pseudomyrmecinae,Pseudomyrmex_salvini,Urticaceae,Myriocarpa_longipes
Formicinae,Camponotus_linnaei,Piperaceae,Piper_sanctum
Formicinae,Camponotus_plantatus,Piperaceae,Piper_sanctum
Formicinae,Camponotus_plantatus,Piperaceae,Piper_sanctum
Pseudomyrmecinae,Pseudomyrmex_ferrugineus,Piperaceae,Piper_sanctum
Formicinae,Camponotus_plantatus,Sapindaceae,Serjania_sp1
Pseudomyrmecinae,Pseudomyrmex_salvini,Sapindaceae,Serjania_sp1
Pseudomyrmecinae,Pseudomyrmex_salvini,Araceae,Syngonium_sp1